Element;h_index;g_index;m_index;TC;NP;PY_start
BELTRAN FS;1;1;0,111;3;1;2014
BELTRAN RS;1;1;0,167;16;1;2017
BELTRAN-HERNANDEZ CC;1;1;0,333;12;1;2020
BEN HASSINE M;1;1;0,250;4;1;2019
BEN SAID L;1;1;0,500;2;1;2021
BEN SMIDA M;1;1;0,167;17;1;2017
BEN-ALON L;1;1;0,167;26;1;2017
BEN-JACOB E;2;2;0,083;130;2;1999
BENABOU R;1;1;0,048;189;1;2002
BENACHENHOU MR;1;1;0,111;9;1;2014
BENBASAT I;1;1;0,111;78;1;2014
BENBOUDJEMA F;1;1;0,143;11;1;2016
BENDER JA;1;1;0,100;7;1;2013
BENEDETTI A;1;1;0,125;19;1;2015
BENEDETTI JK;1;1;0,111;58;1;2014
BENEVOLENSKI VB;1;1;0,125;31;1;2015
BENGUERBA Y;1;1;0,250;2;1;2019
BENHAMMADA S;1;1;0,167;3;1;2017
BENHIN JKA;1;1;0,071;5;1;2009
BENJUMEA PN;1;1;0,125;16;1;2015
BENNAJEH A;1;1;0,333;3;2;2020
BENNER T;1;1;0,083;7;1;2011
BENNETT DA;1;1;0,077;16;1;2010
BENNETT DV;1;1;0,125;6;1;2015
BENNETT T;1;1;0,032;39;1;1992
BENTLEY K;1;1;0,500;6;1;2021
BENTLEY PJ;1;1;0,143;7;1;2016
BENTON MG;1;1;0,333;8;1;2020
BENZI M;1;1;0,111;30;1;2014
BERCELI SA;1;1;0,250;6;1;2019
BERCOT P;1;1;0,333;1;1;2020
BERG L;1;1;0,167;1;1;2017
BERGE L;1;1;0,250;3;1;2019
BERGENTI F;2;2;0,200;27;2;2013
